,X-coordinate,Y-coordinate,Label,Sector
0,-6.0031524,-1.5831052,ADANIPORTS,Shipping
0,6.8164225,21.653212,ASIANPAINT,Consumer Goods
0,3.5638008,11.705138,AXISBANK,Financial Services
0,-4.911918,-22.610733,BAJAJ-AUTO,Automobile
0,17.91625,2.8158739,BAJAJFINSV,Financial Services
0,-16.716486,-0.7312188,BAJFINANCE,Financial Services
0,-0.7922392,-7.482956,BHARTIARTL,Telecom
0,-9.459185,-5.8276224,BPCL,Energy
0,6.9836235,7.0623364,BRITANNIA,Consumer Goods
0,0.15690702,-10.178045,CIPLA,Pharma
0,-4.8728414,8.307941,COALINDIA,Metals & Mining
0,12.316566,-7.8048024,DRREDDY,Pharma
0,39.02345,42.02671,EICHERMOT,Automobile
0,-5.989366,8.636456,GAIL,Energy
0,9.816301,-2.0349119,GRASIM,Cement
0,-3.7338762,-8.010172,HCLTECH,Information Technology
0,20.263058,8.16047,HDFC,Financial Services
0,7.7264853,3.1671028,HDFCBANK,Financial Services
0,-15.693415,10.797937,HEROMOTOCO,Automobile
0,15.314335,-0.02631092,HINDALCO,Metals & Mining
0,-13.24342,4.3356485,HINDUNILVR,Consumer Goods
0,-6.30805,-9.605512,ICICIBANK,Financial Services
0,0.28260678,-0.008002244,INDUSINDBK,Financial Services
0,9.86266,0.9495677,INFRATEL,Telecom
0,3.8748503,-8.578657,INFY,Information Technology
0,8.029596,1.4865514,IOC,Energy
0,7.3532324,-0.20520139,ITC,Cigarettes
0,-1.0719051,-7.6698685,JSWSTEEL,Metals & Mining
0,-12.385269,-11.708908,KOTAKBANK,Financial Services
0,-6.9507313,7.106462,LT,Engineering
0,7.402735,3.307963,M&M,Automobile
0,-19.24827,-3.8695831,MARUTI,Automobile
0,-1.6037459,9.55713,NESTLEIND,Consumer Goods
0,0.95707655,7.409842,NIFTY 50,Index
0,-10.132331,-0.0828805,NTPC,Energy
0,6.6789317,-6.677152,ONGC,Energy
0,-6.804561,-5.518521,POWERGRID,Energy
0,-3.9826057,-15.040129,RELIANCE,Energy
0,7.448386,-0.6915536,SBIN,Financial Services
0,-34.54366,-46.10201,SHREECEM,Cement
0,-16.348948,8.656396,SUNPHARMA,Pharma
0,5.739738,-0.52430177,TATAMOTORS,Automobile
0,-21.855015,-5.955148,TATASTEEL,Metals & Mining
0,5.55184,-4.8616805,TCS,Information Technology
0,-4.1362433,8.988348,TECHM,Information Technology
0,23.706833,-2.1217594,TITAN,Consumer Goods
0,-5.2093697,-0.5767435,ULTRACEMCO,Cement
0,-10.473162,7.114351,UPL,Fertilizer
0,-7.385211,-3.524393,VEDL,Metals & Mining
0,-6.370346,11.475122,WIPRO,Information Technology
0,11.240439,4.7145824,ZEEL,Media & Entertainment
1,-3.4297953,-0.20300892,ADANIPORTS,Shipping
1,-0.96329796,-1.3846414,ASIANPAINT,Consumer Goods
1,-0.50056803,-2.223441,AXISBANK,Financial Services
1,-0.5511744,-5.4189587,BAJAJ-AUTO,Automobile
1,-3.7254639,-0.001242876,BAJAJFINSV,Financial Services
1,1.7979718,0.40811086,BAJFINANCE,Financial Services
1,-2.017363,10.4925785,BHARTIARTL,Telecom
1,-3.5046682,1.3577669,BPCL,Energy
1,2.8688796,-2.6881618,BRITANNIA,Consumer Goods
1,7.437075,6.0077753,CIPLA,Pharma
1,-20.184933,-1.0078363,COALINDIA,Metals & Mining
1,-13.02542,1.9856359,DRREDDY,Pharma
1,-13.183729,-16.877611,EICHERMOT,Automobile
1,-37.46384,-12.678201,GAIL,Energy
1,8.254323,9.8229265,GRASIM,Cement
1,1.0433407,-3.488397,HCLTECH,Information Technology
1,-1.3784721,0.2216301,HDFC,Financial Services
1,-0.43478537,5.146346,HDFCBANK,Financial Services
1,-1.2143635,5.1125116,HEROMOTOCO,Automobile
1,8.435307,-1.1640035,HINDALCO,Metals & Mining
1,-0.94166565,1.1175816,HINDUNILVR,Consumer Goods
1,4.351019,2.8923624,ICICIBANK,Financial Services
1,5.561958,-0.63227785,INDUSINDBK,Financial Services
1,-2.7697725,-0.44187284,INFRATEL,Telecom
1,0.039672732,-5.750201,INFY,Information Technology
1,-0.822844,7.1052394,IOC,Energy
1,1.6140313,-2.6861582,ITC,Cigarettes
1,-0.59045446,1.2120905,JSWSTEEL,Metals & Mining
1,2.271892,0.16210079,KOTAKBANK,Financial Services
1,1.4906819,0.476861,LT,Engineering
1,9.953084,-0.30948877,M&M,Automobile
1,4.815596,-1.2087548,MARUTI,Automobile
1,-0.5262611,-2.1963341,NESTLEIND,Consumer Goods
1,3.7801547,3.3537164,NIFTY 50,Index
1,-1.0253785,0.49055243,NTPC,Energy
1,1.0732578,-14.795081,ONGC,Energy
1,3.0866027,3.2153087,POWERGRID,Energy
1,-3.4871244,-0.08012676,RELIANCE,Energy
1,0.33419824,-0.13906717,SBIN,Financial Services
1,12.350168,13.074156,SHREECEM,Cement
1,-1.6545119,-1.5942869,SUNPHARMA,Pharma
1,0.3423089,4.888776,TATAMOTORS,Automobile
1,0.31886673,0.96548134,TATASTEEL,Metals & Mining
1,-0.77465653,-2.0000324,TCS,Information Technology
1,-11.807753,-0.14881569,TECHM,Information Technology
1,-1.5387759,0.46669948,TITAN,Consumer Goods
1,4.1996017,-0.33617818,ULTRACEMCO,Cement
1,1.4146316,-10.421675,UPL,Fertilizer
1,-7.609435,0.120417595,VEDL,Metals & Mining
1,2.5975523,-0.63767946,WIPRO,Information Technology
1,0.29997987,11.929888,ZEEL,Media & Entertainment
2,-6.066002,1.7344254,ADANIPORTS,Shipping
